user_id	stime	movie_id	movie_name
1013	2015-10-22 21:40:00+03	7439	Прогулка
1013	2015-10-15 13:00:00+03	7492	МУЛЬТ в кино. Выпуск №16
1013	2015-10-08 21:55:00+03	7067	Марсианин
1013	2015-09-28 17:10:00+03	7292	Эверест
1013	2015-09-25 21:20:00+03	7292	Эверест
1013	2015-09-23 01:40:00+03	6981	Орлеан
1013	2015-09-21 23:20:00+03	6981	Орлеан
1013	2015-09-21 23:20:00+03	6981	Орлеан
1013	2015-09-21 23:20:00+03	6981	Орлеан
1013	2015-09-11 11:15:00+03	7053	Пиковая дама: Черный обряд
1013	2015-09-12 12:15:00+03	7334	Рики и Флэш
1013	2015-09-13 15:25:00+03	7334	Рики и Флэш
1013	2015-09-09 11:10:00+03	7114	Москва никогда не спит
1013	2013-07-20 12:50:00+04	2515	Тихоокеанский рубеж
1013	2015-08-14 10:35:00+03	7284	Иррациональный человек
1013	2015-08-12 10:25:00+03	6668	Миньоны
1013	2014-12-08 15:30:00+03	5969	Любит не любит
1013	2015-10-06 19:45:00+03	7432	Легенда
1013	2015-04-02 19:40:00+03	6636	Битва за Севастополь
1013	2015-04-02 19:40:00+03	6636	Битва за Севастополь
1013	2014-03-13 22:40:00+04	3255	Need for Speed: Жажда скорости
1013	2013-07-23 11:50:00+04	2576	Призрачный патруль
1013	2013-07-24 15:00:00+04	2385	Штурм Белого дома
1013	2013-07-18 20:55:00+04	2376	Война миров Z
1013	2013-07-19 12:40:00+04	2576	Призрачный патруль
1013	2013-07-19 12:40:00+04	2576	Призрачный патруль
1013	2013-06-07 10:00:00+04	2579	Посещение зоопарка
1013	2013-06-07 10:00:00+04	2579	Посещение зоопарка
1013	2013-05-19 20:05:00+04	2355	Стартрек: Возмездие
1013	2013-05-03 20:00:00+04	2247	Железный человек 3
1013	2013-02-02 20:00:00+04	2042	Охотники на гангстеров
1013	2013-02-24 19:00:00+04	2036	Метро
1013	2014-12-12 15:10:00+03	5416	Хоббит: Битва пяти воинств
1013	2014-12-08 10:30:00+03	3837	20 000 лье под водой
1013	2014-04-06 19:15:00+04	3797	Отель «Гранд Будапешт»
1013	2014-03-06 10:00:00+04	3750	Легок на помине
1013	2014-02-28 10:20:00+04	3005	Академия вампиров
1013	2013-03-26 13:20:00+04	2153	Оз: Великий и Ужасный
1013	2014-01-22 12:00:00+04	3754	Преображение кимоно: искусство Итику Кубота
1013	2012-12-12 09:00:00+04	1976	Красавица и чудовище 3D
1013	2014-01-22 12:00:00+04	3754	Преображение кимоно: искусство Итику Кубота
1013	2013-02-21 16:50:00+04	2121	Возвращение героя
1013	2013-02-21 15:00:00+04	2121	Возвращение героя
